2024-09-23 09:09:59,854 - INFO - Modelo preentrenado cargado desde /home/riwamoto/riwamoto_data/ALE_Pong_results/models/dqn_model_ALE_Pong_final_20240830_095849.pth
2024-09-23 09:10:57,798 - INFO - Ep.: 87, Score: -21.0, e: 0.05, Steps: 826, Avg Q-val: 0.04, replay: 79932, Mem Usage: 46.6%
2024-09-23 09:10:58,417 - INFO - Ep.: 88, Score: -21.0, e: 0.05, Steps: 826, Avg Q-val: 0.04, replay: 80758, Mem Usage: 47.1%
2024-09-23 09:10:59,137 - INFO - Ep.: 89, Score: -20.0, e: 0.05, Steps: 959, Avg Q-val: 0.04, replay: 81717, Mem Usage: 47.7%
2024-09-23 09:10:59,755 - INFO - Ep.: 90, Score: -21.0, e: 0.05, Steps: 826, Avg Q-val: 0.04, replay: 82543, Mem Usage: 48.1%
2024-09-23 09:11:00,449 - INFO - Ep.: 91, Score: -19.0, e: 0.05, Steps: 938, Avg Q-val: 0.04, replay: 83481, Mem Usage: 48.7%
2024-09-23 09:11:01,106 - INFO - Ep.: 92, Score: -20.0, e: 0.05, Steps: 860, Avg Q-val: 0.04, replay: 84341, Mem Usage: 49.2%
2024-09-23 09:11:01,748 - INFO - Ep.: 93, Score: -21.0, e: 0.05, Steps: 854, Avg Q-val: 0.04, replay: 85195, Mem Usage: 49.7%
2024-09-23 09:11:02,553 - INFO - Ep.: 94, Score: -19.0, e: 0.05, Steps: 1118, Avg Q-val: 0.04, replay: 86313, Mem Usage: 50.3%
2024-09-23 09:11:03,173 - INFO - Ep.: 95, Score: -21.0, e: 0.05, Steps: 826, Avg Q-val: 0.04, replay: 87139, Mem Usage: 50.9%
2024-09-23 09:11:03,804 - INFO - Ep.: 96, Score: -20.0, e: 0.05, Steps: 838, Avg Q-val: 0.04, replay: 87977, Mem Usage: 51.4%
2024-09-23 09:11:04,439 - INFO - Ep.: 97, Score: -20.0, e: 0.05, Steps: 838, Avg Q-val: 0.04, replay: 88815, Mem Usage: 51.9%
2024-09-23 09:11:05,059 - INFO - Ep.: 98, Score: -21.0, e: 0.05, Steps: 826, Avg Q-val: 0.04, replay: 89641, Mem Usage: 52.4%
2024-09-23 09:11:05,682 - INFO - Ep.: 99, Score: -21.0, e: 0.05, Steps: 826, Avg Q-val: 0.04, replay: 90467, Mem Usage: 52.9%
2024-09-23 09:11:06,310 - INFO - Ep.: 100, Score: -21.0, e: 0.05, Steps: 826, Avg Q-val: 0.04, replay: 91293, Mem Usage: 53.4%
2024-09-23 09:11:06,935 - INFO - Ep.: 101, Score: -20.0, e: 0.05, Steps: 838, Avg Q-val: 0.04, replay: 92131, Mem Usage: 53.9%
2024-09-23 09:11:07,563 - INFO - Ep.: 102, Score: -21.0, e: 0.05, Steps: 825, Avg Q-val: 0.04, replay: 92956, Mem Usage: 54.5%
2024-09-23 09:11:08,247 - INFO - Ep.: 103, Score: -20.0, e: 0.05, Steps: 928, Avg Q-val: 0.04, replay: 93884, Mem Usage: 55.0%
2024-09-23 09:11:09,020 - INFO - Ep.: 104, Score: -18.0, e: 0.05, Steps: 1056, Avg Q-val: 0.04, replay: 94940, Mem Usage: 55.6%
2024-09-23 09:11:09,731 - INFO - Ep.: 105, Score: -20.0, e: 0.05, Steps: 963, Avg Q-val: 0.04, replay: 95903, Mem Usage: 56.2%
2024-09-23 09:11:10,481 - INFO - Ep.: 106, Score: -19.0, e: 0.05, Steps: 1018, Avg Q-val: 0.04, replay: 96921, Mem Usage: 56.7%
2024-09-23 09:11:11,098 - INFO - Ep.: 107, Score: -21.0, e: 0.05, Steps: 826, Avg Q-val: 0.04, replay: 97747, Mem Usage: 57.2%
2024-09-23 09:11:11,881 - INFO - Ep.: 108, Score: -18.0, e: 0.05, Steps: 1057, Avg Q-val: 0.04, replay: 98804, Mem Usage: 57.9%
2024-09-23 09:11:12,516 - INFO - Ep.: 109, Score: -20.0, e: 0.05, Steps: 838, Avg Q-val: 0.04, replay: 99642, Mem Usage: 58.4%
2024-09-23 09:11:15,664 - INFO - Ep.: 110, Score: -19.0, e: 0.05, Steps: 1139, Avg Q-val: 0.04, replay: 100000, Mem Usage: 60.6%
2024-09-23 09:11:22,151 - INFO - Ep.: 111, Score: -8.0, e: 0.05, Steps: 1866, Avg Q-val: 0.04, replay: 100000, Mem Usage: 63.2%
2024-09-23 09:11:26,149 - INFO - Ep.: 112, Score: -18.0, e: 0.05, Steps: 1160, Avg Q-val: 0.05, replay: 100000, Mem Usage: 64.1%
2024-09-23 09:11:29,895 - INFO - Ep.: 113, Score: -19.0, e: 0.05, Steps: 1077, Avg Q-val: 0.06, replay: 100000, Mem Usage: 64.8%
2024-09-23 09:11:34,344 - INFO - Ep.: 114, Score: -20.0, e: 0.05, Steps: 1265, Avg Q-val: 0.07, replay: 100000, Mem Usage: 66.2%
2024-09-23 09:11:39,558 - INFO - Ep.: 115, Score: -16.0, e: 0.05, Steps: 1526, Avg Q-val: 0.11, replay: 100000, Mem Usage: 67.4%
2024-09-23 09:11:44,261 - INFO - Ep.: 116, Score: -16.0, e: 0.05, Steps: 1307, Avg Q-val: 0.12, replay: 100000, Mem Usage: 69.1%
2024-09-23 09:11:48,446 - INFO - Ep.: 117, Score: -19.0, e: 0.05, Steps: 1134, Avg Q-val: 0.14, replay: 100000, Mem Usage: 70.9%
2024-09-23 09:11:54,731 - INFO - Ep.: 118, Score: -10.0, e: 0.05, Steps: 1716, Avg Q-val: 0.16, replay: 100000, Mem Usage: 72.9%
2024-09-23 09:11:59,353 - INFO - Ep.: 119, Score: -18.0, e: 0.05, Steps: 1277, Avg Q-val: 0.18, replay: 100000, Mem Usage: 74.5%
2024-09-23 09:12:04,190 - INFO - Ep.: 120, Score: -19.0, e: 0.05, Steps: 1147, Avg Q-val: 0.19, replay: 100000, Mem Usage: 77.0%
2024-09-23 09:12:08,882 - INFO - Ep.: 121, Score: -19.0, e: 0.05, Steps: 1034, Avg Q-val: 0.20, replay: 100000, Mem Usage: 77.6%
2024-09-23 09:12:14,172 - INFO - Ep.: 122, Score: -17.0, e: 0.05, Steps: 1189, Avg Q-val: 0.21, replay: 100000, Mem Usage: 78.7%
2024-09-23 09:12:19,052 - INFO - Ep.: 123, Score: -19.0, e: 0.05, Steps: 1074, Avg Q-val: 0.21, replay: 100000, Mem Usage: 78.3%
2024-09-23 09:12:24,808 - INFO - Ep.: 124, Score: -18.0, e: 0.05, Steps: 1232, Avg Q-val: 0.21, replay: 100000, Mem Usage: 78.3%
2024-09-23 09:12:31,296 - INFO - Ep.: 125, Score: -16.0, e: 0.05, Steps: 1441, Avg Q-val: 0.21, replay: 100000, Mem Usage: 78.5%
2024-09-23 09:12:37,478 - INFO - Ep.: 126, Score: -15.0, e: 0.05, Steps: 1332, Avg Q-val: 0.21, replay: 100000, Mem Usage: 78.9%
2024-09-23 09:12:45,497 - INFO - Ep.: 127, Score: -15.0, e: 0.05, Steps: 1720, Avg Q-val: 0.21, replay: 100000, Mem Usage: 79.1%
2024-09-23 09:12:52,945 - INFO - Ep.: 128, Score: -16.0, e: 0.05, Steps: 1573, Avg Q-val: 0.23, replay: 100000, Mem Usage: 79.2%
2024-09-23 09:13:00,381 - INFO - Ep.: 129, Score: -14.0, e: 0.05, Steps: 1590, Avg Q-val: 0.23, replay: 100000, Mem Usage: 79.6%
2024-09-23 09:13:06,850 - INFO - Ep.: 130, Score: -16.0, e: 0.05, Steps: 1396, Avg Q-val: 0.23, replay: 100000, Mem Usage: 79.0%
2024-09-23 09:13:12,946 - INFO - Ep.: 131, Score: -17.0, e: 0.05, Steps: 1342, Avg Q-val: 0.24, replay: 100000, Mem Usage: 79.6%
2024-09-23 09:13:18,985 - INFO - Ep.: 132, Score: -17.0, e: 0.05, Steps: 1321, Avg Q-val: 0.24, replay: 100000, Mem Usage: 78.8%
2024-09-23 09:13:25,826 - INFO - Ep.: 133, Score: -16.0, e: 0.05, Steps: 1493, Avg Q-val: 0.23, replay: 100000, Mem Usage: 79.4%
2024-09-23 09:13:30,971 - INFO - Ep.: 134, Score: -20.0, e: 0.05, Steps: 1140, Avg Q-val: 0.21, replay: 100000, Mem Usage: 79.7%
2024-09-23 09:13:36,132 - INFO - Ep.: 135, Score: -20.0, e: 0.05, Steps: 1099, Avg Q-val: 0.19, replay: 100000, Mem Usage: 79.4%
2024-09-23 09:13:44,316 - INFO - Ep.: 136, Score: -10.0, e: 0.05, Steps: 1781, Avg Q-val: 0.22, replay: 100000, Mem Usage: 79.7%
2024-09-23 09:13:48,479 - INFO - Ep.: 137, Score: -20.0, e: 0.05, Steps: 884, Avg Q-val: 0.23, replay: 100000, Mem Usage: 79.6%
2024-09-23 09:13:53,921 - INFO - Ep.: 138, Score: -19.0, e: 0.05, Steps: 1162, Avg Q-val: 0.21, replay: 100000, Mem Usage: 79.7%
2024-09-23 09:14:00,040 - INFO - Ep.: 139, Score: -19.0, e: 0.05, Steps: 1301, Avg Q-val: 0.24, replay: 100000, Mem Usage: 80.1%
2024-09-23 09:14:07,035 - INFO - Ep.: 140, Score: -12.0, e: 0.05, Steps: 1521, Avg Q-val: 0.26, replay: 100000, Mem Usage: 79.6%
2024-09-23 09:14:14,816 - INFO - Ep.: 141, Score: -12.0, e: 0.05, Steps: 1687, Avg Q-val: 0.25, replay: 100000, Mem Usage: 79.4%
2024-09-23 09:14:21,365 - INFO - Ep.: 142, Score: -16.0, e: 0.05, Steps: 1409, Avg Q-val: 0.26, replay: 100000, Mem Usage: 80.0%
2024-09-23 09:14:25,991 - INFO - Ep.: 143, Score: -20.0, e: 0.05, Steps: 969, Avg Q-val: 0.26, replay: 100000, Mem Usage: 79.9%
2024-09-23 09:14:32,802 - INFO - Ep.: 144, Score: -17.0, e: 0.05, Steps: 1481, Avg Q-val: 0.29, replay: 100000, Mem Usage: 79.9%
2024-09-23 09:14:39,910 - INFO - Ep.: 145, Score: -13.0, e: 0.05, Steps: 1553, Avg Q-val: 0.31, replay: 100000, Mem Usage: 80.3%
2024-09-23 09:14:46,141 - INFO - Ep.: 146, Score: -18.0, e: 0.05, Steps: 1339, Avg Q-val: 0.29, replay: 100000, Mem Usage: 80.7%
2024-09-23 09:14:52,072 - INFO - Ep.: 147, Score: -16.0, e: 0.05, Steps: 1302, Avg Q-val: 0.30, replay: 100000, Mem Usage: 80.6%
2024-09-23 09:14:59,990 - INFO - Ep.: 148, Score: -11.0, e: 0.05, Steps: 1690, Avg Q-val: 0.33, replay: 100000, Mem Usage: 79.8%
2024-09-23 09:15:06,186 - INFO - Ep.: 149, Score: -18.0, e: 0.05, Steps: 1314, Avg Q-val: 0.33, replay: 100000, Mem Usage: 80.2%
2024-09-23 09:15:14,399 - INFO - Ep.: 150, Score: -11.0, e: 0.05, Steps: 1788, Avg Q-val: 0.35, replay: 100000, Mem Usage: 80.2%
2024-09-23 09:15:22,775 - INFO - Ep.: 151, Score: -12.0, e: 0.05, Steps: 1782, Avg Q-val: 0.38, replay: 100000, Mem Usage: 79.7%
2024-09-23 09:15:28,947 - INFO - Ep.: 152, Score: -16.0, e: 0.05, Steps: 1358, Avg Q-val: 0.35, replay: 100000, Mem Usage: 79.8%
2024-09-23 09:15:37,775 - INFO - Ep.: 153, Score: -12.0, e: 0.05, Steps: 1896, Avg Q-val: 0.37, replay: 100000, Mem Usage: 80.1%
2024-09-23 09:15:43,402 - INFO - Ep.: 154, Score: -19.0, e: 0.05, Steps: 1217, Avg Q-val: 0.37, replay: 100000, Mem Usage: 80.3%
2024-09-23 09:15:51,777 - INFO - Ep.: 155, Score: -11.0, e: 0.05, Steps: 1816, Avg Q-val: 0.41, replay: 100000, Mem Usage: 79.6%
2024-09-23 09:15:58,337 - INFO - Ep.: 156, Score: -16.0, e: 0.05, Steps: 1420, Avg Q-val: 0.38, replay: 100000, Mem Usage: 79.6%
2024-09-23 09:16:05,474 - INFO - Ep.: 157, Score: -13.0, e: 0.05, Steps: 1552, Avg Q-val: 0.40, replay: 100000, Mem Usage: 79.2%
2024-09-23 09:16:12,160 - INFO - Ep.: 158, Score: -15.0, e: 0.05, Steps: 1449, Avg Q-val: 0.39, replay: 100000, Mem Usage: 79.3%
